Civilité,Prénom,Nom,Société,Site,Département,Service,fonction,Manager - prénom,Manager - nom,PC,Date de naissance,Téléphone fixe,Téléphone portable,Nomadisme - Télétravail
M.,Quentin,Blanchard,Pharmgreen,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,Aurélie,Petit,P0036,01/09/1982,0487654321,-,non
Mme,Zoé,Dupuis,Pharmgreen,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,Aurélie,Petit,P0223,30/10/1972,0434567890,-,non
M.,Hassan,Liffite,Pharmgreen,Lyon,Systèmes d'Information,Data,Data scientist,Tina,Le Hecourt,P0267,13/09/1995,0467890123,-,non
M.,Pierre,David,Pharmgreen,Lyon,Systèmes d'Information,Data,Data scientist,Tina,Le Hecourt,P0357,23/12/1989,0456789012,-,non
Mme,Rosalie,Roux,Pharmgreen,Lyon,Systèmes d'Information,Data,Data scientist,Tina,Le Hecourt,P0277,20/12/1997,0456789012,-,non
Mme,Alicia,Moreau,Pharmgreen,Lyon,Ventes et Développement Commercial,Développement internationnal,Commercial,Sarah,Durand,P0710,14/03/1976,0432109876,0737563611,oui
Mme,Chloé,Bernard,Pharmgreen,Lyon,Ventes et Développement Commercial,Développement internationnal,Commercial,Sarah,Durand,P0042,05/02/1988,0456789012,0631423219,oui
M.,Hugo,Leroy,Pharmgreen,Lyon,Ventes et Développement Commercial,Développement internationnal,Commercial,Sarah,Durand,P0194,21/10/1995,0421098765,0799311104,oui
M.,Maxime,Petit,Pharmgreen,Lyon,Ventes et Développement Commercial,Développement internationnal,Commercial,Sarah,Durand,P0260,14/07/1980,0434567890,0724827047,oui
Mme,Sarah,Lefranc,Pharmgreen,Lyon,Ventes et Développement Commercial,Développement internationnal,Directrice Commercial,Gilles,Faure,P0362,27/06/1973,0476543210,0744720692,oui
Mme,Béatrice,Bonnet,Pharmgreen,Lyon,Systèmes d'Information,Développement logiciel,Développeur,Tina,Le Hecourt,P0249,20/10/1999,0421098765,-,non
M.,Cyril,François,Pharmgreen,Lyon,Systèmes d'Information,Développement logiciel,Développeur,Tina,Le Hecourt,P0124,31/01/1989,0487654321,-,non
M.,Gabriel,Mercier,Pharmgreen,Lyon,Direction Financière,Finance,Analyste financier,Aurélie,Petit,P0085,29/06/1987,0412345678,-,non
Mme,Justinia,Lafontaine,Pharmgreen,Lyon,Direction Financière,Finance,Analyste financier,Aurélie,Petit,P0653,10/12/1993,0467890123,-,non
M.,Leon,Müller,Pharmgreen,Lyon,Direction Financière,Finance,Analyste financier,Aurélie,Petit,P0778,21/03/1990,0476543210,-,non
Mme,Morgane,Palaiseau,Pharmgreen,Lyon,Direction Financière,Finance,Analyste financier,Aurélie,Petit,P0261,01/11/1983,0412345678,-,non
M.,Victor,Lemoine-Franquin,Pharmgreen,Lyon,Direction Financière,Finance,Analyste financier,Aurélie,Petit,P0593,11/11/1977,0421098765,-,non
Mme,Aurélie,Petit,Pharmgreen,Lyon,Direction Financière,Finance,DAF,Gilles,Faure,P0173,04/02/1991,0476543210,0755275775,non
Mme,Myriam,Aubert,Pharmgreen,Lyon,RH,Formation,Formateur,Kelly,Arnaud,P0044,25/06/1990,0421098765,0731355860,non
M.,Noah,Dumas,Pharmgreen,Lyon,RH,Formation,Formateur,Kelly,Arnaud,P0516,20/01/1975,0421098765,0681305279,non
Mme,Ophélie,Poulin,Pharmgreen,Lyon,RH,Formation,Formateur,Kelly,Arnaud,P0772,17/05/1980,0445678901,0675781283,non
M.,Cédric,Caron,Pharmgreen,Lyon,RH,Gestion des performances,Agent RH,Kelly,Arnaud,P0450,21/12/1998,0456789012,-,non
Mme,Delphine,Boucher,Pharmgreen,Lyon,RH,Gestion des performances,Agent RH,Kelly,Arnaud,P0104,14/11/1998,0434567890,-,non
M.,Étienne,Brun,Pharmgreen,Lyon,RH,Gestion des performances,Agent RH,Kelly,Arnaud,P0536,12/02/1992,0412345678,-,non
Mme,Geneviève,Giraud,Pharmgreen,Lyon,RH,Gestion des performances,Agent RH,Kelly,Arnaud,P0202,23/03/1978,0421098765,-,non
M.,Henri,Joly,Pharmgreen,Lyon,RH,Gestion des performances,Agent RH,Kelly,Arnaud,P0644,10/03/1974,0423456789,-,non
Mme,Irène,Lemoine,Pharmgreen,Lyon,RH,Gestion des performances,Agent RH,Kelly,Arnaud,P0595,06/04/1983,0476543210,-,non
M.,Jordan,Barbier,Pharmgreen,Lyon,RH,Gestion des performances,Agent RH,Kelly,Arnaud,P0038,14/11/1970,0487654321,-,non
M.,Nordman,Polock,Pharmgreen,Lyon,RH,Gestion des performances,Agent RH,Kelly,Arnaud,P0167,15/06/1999,0443210987,-,non
M.,Arjun,Singh,Pharmgreen,Lyon,Services Généraux,Gestion Immobilière,Gestionnaire immobilier,Julien,Marie,P0293,23/07/1982,0456789012,-,non
Mme,Hélena,Ivanova,Pharmgreen,Lyon,Services Généraux,Gestion Immobilière,Gestionnaire immobilier,Julien,Marie,P0616,09/12/1992,0445678901,-,non
Mme,Emma,Dupont,Pharmgreen,Lyon,Ventes et Développement Commercial,Grands Comptes,Commercial,Mélanie,Lefebvre,P0460,18/06/1987,0487654321,0710917834,oui
M.,Lucas,Martin,Pharmgreen,Lyon,Ventes et Développement Commercial,Grands Comptes,Commercial,Mélanie,Lefebvre,P0033,09/08/1986,0467890123,0634335136,oui
Mme,Olga,Üt,Pharmgreen,Lyon,Ventes et Développement Commercial,Grands Comptes,Commercial,Mélanie,Lefebvre,P0783,22/02/1971,0412345678,0729966375,oui
Mme,Olivia,Garcimor,Pharmgreen,Lyon,Ventes et Développement Commercial,Grands Comptes,Commercial,Mélanie,Lefebvre,P0709,03/01/1976,0456789012,0723385865,oui
Mme,Mélanie,Lefebvre,Pharmgreen,Lyon,Ventes et Développement Commercial,Grands Comptes,Responsable Grands Comptes,Sarah,Durand,P0628,06/12/1973,0456789012,0779466973,oui
M.,Ahmed,Khalid,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0815,11/08/1990,0421098765,-,non
Mme,Aisha,Abdullah,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0820,09/10/1983,0476543210,-,non
Mme,Aya,Patel,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0195,28/08/1974,0434567890,-,non
M.,Chang,Li,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0819,26/05/1977,0434567890,-,non
M.,Ibrahim,Lebn',Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0812,30/06/1973,0434567890,-,non
Mme,Ines,Rex,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0790,15/04/1982,0487654321,-,non
M.,Ivan,Petrov,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0235,26/07/1973,0487654321,-,non
M.,Jamal,Nkrumah,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0821,14/02/1992,0423456789,-,non
M.,Jean-pierre,Gadere,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0801,07/11/1988,0412345678,-,non
M.,Juan,Hernandez,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0830,20/11/1987,0412345678,-,non
Mme,Katya,Ivanov,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0832,05/07/1979,0434567890,-,non
M.,Liam,O'Connor,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0370,28/05/1979,0440987654,-,non
Mme,Maria,Garcia-Lopez,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0814,02/03/1971,0412345678,-,non
Mme,Mia-Lyn,Nguyen,Pharmgreen,Lyon,R&D,Innovation et Stratégie,Chercheur,Sofia,Rodriguez,P0667,30/12/1978,0432109876,-,non
